Name,Locked,Org,Status,Type,Water,Compost,Features,Seasonal,Animals,Address,Food Producing,Com_Gard,Dormant,Latitude,Longitude,Address,Ownership,Oth_org,Website,Facebook,Fenced,Descript,Ward,CCA,Contact,Image,City
108th St Prayer Partners,No,,"Allotment, Collective","Community Garden, Ornamental / Beautification",Hose connected to private property,,Seating Area,,,216 W 108th St,Yes,,No,41.6980002,-87.6284777,216 W 108th St,,,,,Yes,,34,ROSELAND,,,Chicago
Troy Community Garden,Yes,,Unclear,"Community Garden, Ornamental / Beautification",On site water source,,"Compost System, Seating Area",,,1842 S Troy St,Yes,,No,41.8560553,-87.7047479,1842 S Troy St,NeighborSpace,,http://neighbor-space.org/2012/04/21/1800-south-troy-block-club-garden/,,Yes,,24,NORTH LAWNDALE,,http://farm4.staticflickr.com/3039/2830840145_bf5d23bcf0.jpg,Chicago
2943 W Adams Community Garden,No,,Collective,Community Garden,Hose connected to private property,,,,,2943 W Adams St,Yes,,No,41.878043,-87.70031,2943 W Adams St,,,,,No,,28,EAST GARFIELD PARK,,,Chicago
3317 West Walnut Garden,No,,Unclear,Community Garden,On site water source,,,,,3317 W Walnut St,Yes,,No,41.885117,-87.709437,3317 W Walnut St,NeighborSpace,,http://neighbor-space.org/2012/07/21/3317-west-walnut-garden/,,Yes,,28,EAST GARFIELD PARK,773.722.8205,,Chicago
3900 Indiana Block,No,,Collective,Community Garden,Hose connected to private property,,"Seating Area, Artwork / Sculptures",,,3929 S Indiana Ave,Yes,,No,41.822679,-87.621094,3929 S Indiana Ave,,,,,Yes,,3,GRAND BOULEVARD,,,Chicago
4400 Leamington Garden,No,,Allotment,"Community Garden, Community Farm",Hose connected to private property,,"Fire Pit, Seating Area",,,4500 S Laramie Ave,Yes,,No,41.8110445,-87.7530144,4500 S Laramie Ave,,,,,Yes,,,,,,Chicago
55th and Woodlawn Garden,No,,Allotment,"Community Garden, Food Donation, Ornamental / Beautification","Rain collection system ( rain barrels, cisterns)",,"Compost System, Grill / Cooking Station, Seating Area, Shed / Storage box, Artwork / Sculptures",,,5481 S Woodlawn Ave,Yes,,No,41.7956142,-87.5965419,5481 S Woodlawn Ave,,,http://woodlawngarden.blogspot.com/,,Yes,,4,HYDE PARK,,,Chicago
6062Trees:Sembrando Bajo el Sol,Yes,,Collective,"Community Garden, Ornamental / Beautification, Habitat / Conservation / Prairie","Rain collection system ( rain barrels, cisterns), Hose connected to private property",Yes,"Compost System, Seating Area, Play Area, Shed / Storage box, Handicap accessible bed, Artwork / Sculptures, Water Management, Educational Signage, Covered Area, Information Kiosk","Cold Tunnel, Cloche",,2612 S Trumbull Ave,Yes,Yes,No,41.843977,-87.711455,2612 S Trumbull Ave,NeighborSpace,Enlace,http://enlacechicago.org/programs-page/community-economic-development/placemaking/greenspace-and-pocket-parks/6062trees-sembrando-bajo-el-sol-26th-and-trumbull/,http://enlacechicago.org/,Yes,,22,SOUTH LAWNDALE,mherrera@enlacechicago.org,,Chicago
62nd Street Community Garden,No,,"Allotment, Collective","Community Garden, Food Donation, School Garden","City Fire Hydrant, Hose connected to private property",,"Compost System, Seating Area, Shed / Storage box",,,6143 S Dorchester Ave,Yes,,No,41.783037,-87.591055,6143 S Dorchester Ave,NeighborSpace,,http://62garden.com,https://www.facebook.com/62Garden,Yes,,20,WOODLAWN,,,Chicago
65th and Woodlawn Garden,Yes,,"Allotment, Collective","Community Garden, Food Donation, Congregation Garden, Ornamental / Beautification","City Fire Hydrant, Rain collection system ( rain barrels, cisterns), Irrigation System",,"Grill / Cooking Station, Washing Area / Sinks, Fire Pit, Seating Area, Play Area, Shed / Storage box, Artwork / Sculptures, Educational Signage, Covered Area",Cold Tunnel,,1207 E 65th St,Yes,,No,41.7768571,-87.5957912,1207 E 65th St,,,,https://www.facebook.com/65thandwoodlawn,Yes,,20,WOODLAWN,,,Chicago
