ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
23474,JA362095,7/24/2017 22:30,063XX S ROCKWELL ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,825,8,15,66,01A,1160126,1862613,2017,7/31/2017 15:53,41.77871274,-87.68851572,"(41.778712735, -87.688515719)"
23473,JA362089,7/24/2017 23:06,071XX S RHODES AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,323,3,6,69,01A,1181143,1857742,2017,7/31/2017 15:53,41.76488793,-87.61161611,"(41.764887927, -87.611616114)"
23472,JA360788,7/24/2017 2:18,027XX S KOMENSKY AVE,110,HOMICIDE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,1031,10,22,30,01A,1149823,1885453,2017,7/31/2017 15:53,41.8415948,-87.72569566,"(41.841594798, -87.725695662)"
11035323,JA368936,7/24/2017 19:00,039XX N KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1731,17,38,16,14,1148149,1925724,2017,7/31/2017 15:53,41.95213503,-87.7308009,"(41.952135026, -87.730800898)"
11035249,JA368924,7/24/2017 12:30,020XX W 70TH PL,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,735,7,17,67,5,1164016,1857904,2017,7/31/2017 15:53,41.76570967,-87.67438691,"(41.765709671, -87.674386907)"
11035202,JA368654,7/24/2017 9:00,063XX W GRACE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1633,16,38,17,11,1133475,1924598,2017,7/31/2017 15:53,41.94931558,-87.78477007,"(41.949315583, -87.784770065)"
11035143,JA368618,7/24/2017 12:06,023XX E 71ST ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,331,3,5,43,6,1192930,1858364,2017,7/31/2017 15:53,41.76631523,-87.56839384,"(41.76631523, -87.568393842)"
11034977,JA368400,7/24/2017 11:00,053XX S WOLCOTT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,932,9,16,61,6,1164592,1869257,2017,7/31/2017 15:53,41.79685165,-87.67195561,"(41.796851652, -87.671955607)"
11034728,JA368078,7/24/2017 0:00,066XX S WABASH AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,TRUE,322,3,20,69,6,1177754,1860850,2017,7/31/2017 15:53,41.77349397,-87.62394371,"(41.773493974, -87.623943712)"
11034388,JA367683,7/24/2017 19:00,050XX S KEDZIE AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,821,8,14,63,08B,1155896,1871020,2017,7/31/2017 15:53,41.80186874,-87.70379765,"(41.801868739, -87.703797654)"
11034383,JA367459,7/24/2017 13:09,044XX S ARCHER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,FALSE,821,8,14,58,26,1155085,1874926,2017,7/31/2017 15:53,41.8126036,-87.70666749,"(41.812603596, -87.706667488)"
11034323,JA367411,7/24/2017 19:00,057XX N WINTHROP AVE,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,2022,20,48,77,6,1167826,1938346,2017,7/31/2017 15:53,41.98636781,-87.65810239,"(41.986367809, -87.658102386)"
11034293,JA367363,7/24/2017 19:07,069XX W HIGGINS AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,1613,16,41,10,26,1129122,1935650,2017,7/31/2017 15:53,41.97971879,-87.80051874,"(41.979718785, -87.800518739)"
11034199,JA361752,7/24/2017 14:55,068XX S MORGAN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,723,7,17,68,6,1170825,1859425,2017,7/31/2017 15:53,41.76973763,-87.64938533,"(41.769737631, -87.649385332)"
11034136,JA367074,7/24/2017 0:00,100XX W OHARE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,AIRPORT PARKING LOT,FALSE,FALSE,1651,16,41,76,11,1100658,1934241,2017,7/31/2017 15:53,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
11034032,JA367131,7/24/2017 13:00,045XX W WASHINGTON BLVD,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1113,11,28,26,6,1146107,1900111,2017,7/31/2017 15:53,41.88188954,-87.73895993,"(41.881889541, -87.738959929)"
11033871,JA366938,7/24/2017 8:00,071XX S RIDGELAND AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,324,3,5,43,26,1189101,1858102,2017,7/31/2017 15:53,41.76568887,-87.58243667,"(41.765688866, -87.582436674)"
11033866,JA366957,7/24/2017 0:01,077XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,612,6,17,71,14,1170655,1853491,2017,7/31/2017 15:53,41.75345769,-87.65018122,"(41.753457689, -87.650181219)"
11033858,JA363210,7/24/2017 14:00,009XX W IRVING PARK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,DRUG STORE,FALSE,FALSE,1915,19,46,3,14,1169204,1926746,2017,7/31/2017 15:53,41.95450715,-87.65337277,"(41.954507152, -87.653372774)"
11033655,JA366666,7/24/2017 14:00,003XX W HUBBARD ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1831,18,42,8,7,1173659,1903250,2017,7/31/2017 15:53,41.88993496,-87.63769635,"(41.88993496, -87.637696349)"
11033457,JA366318,7/24/2017 8:30,042XX N BELL AVE,583,STALKING,CYBERSTALKING,OTHER,FALSE,FALSE,1911,19,47,5,08A,1160603,1928077,2017,7/31/2017 15:53,41.95834239,-87.68495427,"(41.958342394, -87.684954266)"
11033265,JA366090,7/24/2017 15:00,085XX S BURLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,ABANDONED BUILDING,FALSE,FALSE,424,4,10,46,14,1199292,1849067,2017,7/31/2017 15:53,41.74064602,-87.54538741,"(41.74064602, -87.545387414)"
11033225,JA365995,7/24/2017 23:40,084XX S WOOD ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,614,6,18,71,6,1165820,1848653,2017,7/31/2017 15:53,41.74028551,-87.66803683,"(41.740285505, -87.668036833)"
11033224,JA365616,7/24/2017 14:00,030XX N HALSTED ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1933,19,44,6,6,1170395,1920489,2017,7/31/2017 15:53,41.93731169,-87.64917811,"(41.937311691, -87.649178107)"
11033214,JA366198,7/24/2017 19:00,035XX N KIMBALL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1732,17,35,21,11,1153099,1923246,2017,7/31/2017 15:53,41.94523828,-87.71267048,"(41.945238279, -87.712670479)"
