ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
23474,JA362095,7/24/2017 22:30,063XX S ROCKWELL ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,825,8,15,66,01A,1160126,1862613,2017,7/31/2017 15:53,41.77871274,-87.68851572,"(41.778712735, -87.688515719)"
23473,JA362089,7/24/2017 23:06,071XX S RHODES AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,323,3,6,69,01A,1181143,1857742,2017,7/31/2017 15:53,41.76488793,-87.61161611,"(41.764887927, -87.611616114)"
11035323,JA368936,7/24/2017 19:00,039XX N KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1731,17,38,16,14,1148149,1925724,2017,7/31/2017 15:53,41.95213503,-87.7308009,"(41.952135026, -87.730800898)"
11034977,JA368400,7/24/2017 11:00,053XX S WOLCOTT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,932,9,16,61,6,1164592,1869257,2017,7/31/2017 15:53,41.79685165,-87.67195561,"(41.796851652, -87.671955607)"
11034199,JA361752,7/24/2017 14:55,068XX S MORGAN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,723,7,17,68,6,1170825,1859425,2017,7/31/2017 15:53,41.76973763,-87.64938533,"(41.769737631, -87.649385332)"
11033655,JA366666,7/24/2017 14:00,003XX W HUBBARD ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1831,18,42,8,7,1173659,1903250,2017,7/31/2017 15:53,41.88993496,-87.63769635,"(41.88993496, -87.637696349)"
11033209,JA365844,7/24/2017 23:00,006XX N NOBLE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1215,12,27,24,6,1166947,1904316,2017,7/31/2017 15:53,41.89300681,-87.66231504,"(41.893006813, -87.662315041)"
11033195,JA365948,7/24/2017 0:15,008XX W SUNNYSIDE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1914,19,46,3,08B,1169874,1930086,2017,7/31/2017 15:53,41.96365761,-87.65081198,"(41.963657608, -87.650811975)"
11032873,JA365652,7/24/2017 13:00,032XX W 59TH ST,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,822,8,14,63,6,1155913,1865325,2017,7/31/2017 15:53,41.78624051,-87.70388823,"(41.786240513, -87.703888233)"
11032103,JA363755,7/24/2017 23:00,021XX W WILSON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1911,19,47,4,14,1161435,1930530,2017,7/31/2017 15:53,41.96505623,-87.68182696,"(41.965056231, -87.681826959)"
11032068,JA364805,7/24/2017 8:30,075XX N SEELEY AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2424,24,49,1,6,1161338,1950012,2017,7/31/2017 15:53,42.01851754,-87.6816385,"(42.018517536, -87.681638499)"
11029926,JA361707,7/24/2017 16:00,111XX S DOTY AVE E,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,513,5,10,51,26,1185381,1831438,2017,7/31/2017 15:53,41.6926082,-87.59690766,"(41.692608203, -87.596907663)"
11029914,JA362064,7/24/2017 20:33,019XX E 71ST ST,453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,STREET,TRUE,FALSE,332,3,5,43,04B,1190557,1858315,2017,7/31/2017 15:53,41.76623835,-87.57709318,"(41.766238351, -87.577093179)"
11029912,JA360858,7/24/2017 1:30,008XX W SUNNYSIDE AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,FALSE,FALSE,1914,19,46,3,3,1169848,1930085,2017,7/31/2017 15:53,41.96365543,-87.6509076,"(41.963655432, -87.650907597)"
11029906,JA362152,7/24/2017 23:20,002XX E 115TH ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,531,5,9,49,08B,1179885,1828759,2017,7/31/2017 15:53,41.68538383,-87.61711086,"(41.685383825, -87.617110857)"
11029902,JA362046,7/24/2017 21:00,006XX N HOMAN AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1121,11,27,23,3,1153601,1903965,2017,7/31/2017 15:53,41.89231958,-87.71133932,"(41.892319584, -87.711339316)"
11029883,JA362176,7/24/2017 16:00,060XX S MAPLEWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,825,8,15,66,14,1160407,1864542,2017,7/31/2017 15:53,41.78400039,-87.68743243,"(41.784000392, -87.687432426)"
11029880,JA362162,7/24/2017 17:00,004XX E 42ND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,214,2,3,38,14,1180068,1877258,2017,7/31/2017 15:53,41.81846632,-87.61495854,"(41.818466315, -87.614958541)"
11029878,JA360774,7/24/2017 1:30,013XX N ROCKWELL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1423,14,26,24,14,1158822,1908981,2017,7/31/2017 15:53,41.90597845,-87.69202701,"(41.905978454, -87.692027013)"
11029874,JA362122,7/24/2017 23:09,049XX W CHICAGO AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,TRUE,FALSE,1531,15,37,25,04B,1143179,1904859,2017,7/31/2017 15:53,41.89497376,-87.74959302,"(41.894973763, -87.749593022)"
11029873,JA362033,7/24/2017 19:23,022XX E 68TH ST,560,ASSAULT,SIMPLE,STREET,TRUE,FALSE,331,3,5,43,08A,1192183,1860314,2017,7/31/2017 15:53,41.77168438,-87.57106847,"(41.771684375, -87.571068474)"
11029871,JA362068,7/24/2017 21:39,016XX W 78TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,611,6,17,71,04B,1166864,1852991,2017,7/31/2017 15:53,41.75216738,-87.66408811,"(41.752167383, -87.664088112)"
11029868,JA362139,7/24/2017 23:00,037XX W 63RD PL,1570,SEX OFFENSE,PUBLIC INDECENCY,STREET,TRUE,FALSE,823,8,13,65,17,1152634,1862240,2017,7/31/2017 15:53,41.77784005,-87.71599203,"(41.777840045, -87.715992031)"
11029864,JA362041,7/24/2017 20:47,027XX W 64TH ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,825,8,15,66,3,1159043,1862067,2017,7/31/2017 15:53,41.77723665,-87.69250102,"(41.777236649, -87.69250102)"
11029863,JA362126,7/24/2017 21:47,005XX E 43RD ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,221,2,3,38,24,1180406,1876613,2017,7/31/2017 15:53,41.81668862,-87.61373847,"(41.816688623, -87.613738468)"
